ProprietyType,District,AverageSellBathRooms,AverageRentBathRooms,AverageSellRooms,AverageRentRooms,AverageSellPrice,AverageRentPrice,PropertyArea
Apartament, Leiria,1.7490774907749078,1.5317460317460319,2.520822351080654,2.1587301587301586,170817.96257248288,489.8333333333333,84.64301587301587
House, Leiria,2.3699788583509513,1.95,3.304087385482734,2.85,222254.61169837913,680.0,128.45499999999998
Apartament, Lisboa,1.7548239266763146,1.5496317643291706,2.2462614568258563,2.0696445725264168,361016.8199469368,1681.4273134806276,90.78999359590138
House, Lisboa,2.6469392365032753,2.604240282685512,3.4913033657104133,3.371024734982332,356361.73480912583,2596.3250883392225,165.34321554770318
Apartament, Portalegre,1.5454545454545454,1.3333333333333333,2.696969696969697,1.6666666666666667,85754.62121212122,334.1666666666667,67.96666666666667
House, Portalegre,1.5065502183406114,1.4,3.041484716157205,2.6,79666.89956331877,495.0,122.6
Apartament, Porto,2.016575682382134,1.54989816700611,2.198709677419355,1.7535641547861507,264182.41320099257,1482.4877800407332,85.29008146639511
House, Porto,2.640817765244977,2.2572815533980584,3.2881565033486075,2.7766990291262137,291090.9400775467,2488.6116504854367,141.10373786407766
Apartament, Santarém,1.7995482778091474,1.7047619047619047,2.722755505364201,2.5238095238095237,113639.07566346697,530.0,101.19066666666667
House, Santarém,1.9784706755753527,1.411764705882353,3.2275426874536004,2.7058823529411766,148470.04454342983,539.1176470588235,107.43588235294118
Apartament, Setúbal,1.6542553191489362,1.3357664233576643,2.439148936170213,2.021897810218978,202545.6895744681,873.5346715328467,80.80412408759125
House, Setúbal,2.794346008361537,2.2083333333333335,3.531554847700577,2.90625,344940.9874576946,1446.1458333333333,145.013125
Apartament, Viana do Castelo,1.854970760233918,1.3333333333333333,2.4444444444444446,1.8833333333333333,172319.14619883042,476.5833333333333,86.534
House, Viana do Castelo,2.329707681849082,2.1818181818181817,3.2059823249490145,2.727272727272727,221587.45887151596,652.7272727272727,145.45454545454547
Apartament, Vila Real,1.841726618705036,1.4375,2.6690647482014387,2.46875,134156.69064748203,448.75,91.4375
House, Vila Real,2.123684210526316,2.0,3.2526315789473683,2.875,139866.82894736843,575.0,140.75
Apartament, Viseu,2.0777439024390243,1.5113636363636365,2.643292682926829,2.125,167792.0381097561,485.0568181818182,91.9796590909091
House, Viseu,1.9851301115241635,1.7058823529411764,3.1524163568773234,2.5294117647058822,131986.35563816605,624.1176470588235,93.97058823529412
Apartament, Évora,1.3309859154929577,1.3,2.316901408450704,1.9,93950.78169014085,509.0,76.4
House, Évora,1.6517857142857142,1.4,2.794642857142857,2.2,136093.20386904763,2919.6666666666665,86.80666666666666
