Location;CrimeRate;CrimesAgainstPhysicalIntegrity;TheftOrRobbery;Carjacking;DrunkDriving;DrivingWithoutLicense;CrimesAgainstNationalHeritage
16I1410: Entroncamento;22.4;3.7;1.2;2.8;.6;1.2;12.8
16I1411: Ferreira do Zêzere;17.6;3;? ?;.6;1.9;.5;8.2
16I1413: Mação;19.9;3.7;0;.8;.8;? ?;9.5
16I1421: Ourém;21.1;3.7;.1;.8;1.7;1;9.2
16I1417: Sardoal;28.5;4.8;0;? ?;2.7;? ?;7.8
16I0509: Sertã;24.2;4.1;? ?;.4;.7;.3;11.3
16I1418: Tomar;25.8;4.7;.2;1.5;1.3;.9;12.8
16I1419: Torres Novas;24.2;2.8;.2;1.3;1.3;1.1;13.4
16I0510: Vila de Rei;22.8;3;0;? ?;1.2;? ?;13.5
16I1420: Vila Nova da Barquinha;20.1;3.3;? ?;.8;.5;1.2;8.9
16J0902: Almeida;34.9;3.6;0;1.4;3.3;.7;11.9
16J0501: Belmonte;34.3;8.8;0;.6;2.2;1.4;12.5
16J0903: Celorico da Beira;25.8;4.5;0;1.7;2.2;? ?;11.2
16J0503: Covilhã;26.4;6.2;.3;.6;1.2;.3;11.4
16J0904: Figueira de Castelo Rodrigo;25.8;5.9;0;? ?;? ?;? ?;8.8
16J0905: Fornos de Algodres;19.2;2.9;? ?;.9;3.1;1.3;7.7
16J0504: Fundão;36.5;5.7;.2;1.3;1.9;.8;18.3
16J0906: Gouveia;25.6;4.8;0;? ?;3.3;.4;7.6
16J0907: Guarda;19.9;3.3;.3;.7;2.2;.4;8.2
16J0908: Manteigas;15.7;5.4;0;1;? ?;0;5.7
16J0909: Mêda;25.4;6.3;0;? ?;3.7;0;9.8
16J0910: Pinhel;29.9;4.7;? ?;? ?;1.7;.8;7.7
16J0911: Sabugal;19.1;3.4;0;.4;1.4;.9;8.5
16J0912: Seia;27.3;6.2;? ?;.5;2.3;.9;9.7
16J0913: Trancoso;19.1;3.9;0;.8;1.5;.6;6.5
1701502: Alcochete;30.9;4;.3;4.8;.9;1.4;17.5
1701503: Almada;34;5.1;1.9;4.2;.5;.9;21.2
1701115: Amadora;27;4.9;2;3;.8;1.5;13.9
1701504: Barreiro;39.4;7.1;1.9;3;1;2.2;20.4
1701105: Cascais;25.2;4;1.1;2.9;.6;.5;15.5
1701106: Lisboa;49.7;5.6;2.9;5.8;.9;3;29.7
1701107: Loures;25.4;4.3;.7;2.3;1.2;2.3;12
1701109: Mafra;22.8;3.3;.2;1.5;1.2;1.3;11.4
1701506: Moita;34.4;7.7;1.1;2.4;.9;1.5;16
1701507: Montijo;33.6;4.3;.6;2.8;1.5;2.9;17.7
1701116: Odivelas;18.8;3.9;.9;2.2;.5;.9;9.8
1701110: Oeiras;22.5;3.6;1.1;2.1;1.1;2;11.2
1701508: Palmela;32.8;5.6;.7;1.8;1.2;1.2;16.8
