Location;HM;H;M
161004: Covas;603;290;313
161006: Gondarém;909;420;489
161007: Loivo;833;413;420
161009: Mentrestido;274;133;141
161012: Sapardos;330;171;159
161013: Sopo;498;245;253
161016: União das freguesias de Campos e Vila Meã;1753;928;825
161017: União das freguesias de Candemil e Gondar;313;146;167
161018: União das freguesias de Reboreda e Nogueira;1143;531;612
161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;1785;805;980
112: Cávado;416679;199424;217255
0301: Amares;18591;9061;9530
030102: Barreiros;739;360;379
030104: Bico;815;394;421
030119: Bouro (Santa Maria);660;318;342
030120: Bouro (Santa Marta);425;209;216
030105: Caires;878;427;451
030107: Carrazedo;723;328;395
030108: Dornelas;510;244;266
030111: Fiscal;711;356;355
030112: Goães;490;246;244
030113: Lago;1822;903;919
030118: Rendufe;1080;546;534
030125: União das freguesias de Amares e Figueiredo;2764;1364;1400
030126: União das freguesias de Caldelas, Sequeiros e Paranhos;1125;531;594
030127: União das freguesias de Ferreiros, Prozelo e Besteiros;4731;2278;2453
030128: União das freguesias de Torre e Portela;563;281;282
030129: União das freguesias de Vilela, Seramil e Paredes Secas;555;276;279
0302: Barcelos;116777;56231;60546
030201: Abade de Neiva;2011;959;1052
030202: Aborim;828;397;431
030203: Adães;755;363;392
030205: Airó;884;443;441
030206: Aldreu;795;395;400
030208: Alvelos;2008;972;1036
030209: Arcozelo;12828;6016;6812
030210: Areias;1026;497;529
030212: Balugães;788;385;403
030213: Barcelinhos;1869;912;957
030215: Barqueiros;1917;907;1010
030216: Cambeses;1235;597;638
030218: Carapeços;2169;1019;1150
030220: Carvalhal;1231;587;644
030221: Carvalhas;693;353;340
030224: Cossourado;758;363;395
030228: Cristelo;1656;808;848
030234: Fornelos;803;409;394
030235: Fragoso;2072;990;1082
030268: Galegos (Santa Maria);2851;1399;1452
030272: Galegos (São Martinho);1842;917;925
030237: Gilmonde;1499;730;769
030242: Lama;1166;563;603
030243: Lijó;2425;1148;1277
030244: Macieira de Rates;1902;903;999
030245: Manhente;1707;808;899
030247: Martim;2050;982;1068
030252: Moure;920;432;488
030254: Oliveira;986;496;490
030255: Palme;1045;497;548
030256: Panque;631;307;324
030257: Paradela;790;389;401
030259: Pereira;1240;597;643
030260: Perelhal;1698;836;862
030261: Pousa;2217;1040;1177
030263: Remelhe;1280;616;664
030265: Rio Covo (Santa Eugénia);1554;762;792
030264: Roriz;2024;993;1031
030279: Silva;899;438;461
030277: Tamel (São Veríssimo);2917;1416;1501
030282: Ucha;1419;673;746
030290: União das freguesias de Alheira e Igreja Nova;1348;637;711
030291: União das freguesias de Alvito (São Pedro e São Martinho) e Couto;1444;700;744
030292: União das freguesias de Areias de Vilar e Encourados;1740;942;798
030293: União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);11350;5456;5894
030294: União das freguesias de Campo e Tamel (São Pedro Fins);1509;736;773
030295: União das freguesias de Carreira e Fonte Coberta;2020;1007;1013
030296: União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;2453;1174;1279
030297: União das freguesias de Creixomil e Mariz;1114;547;567
030298: União das freguesias de Durrães e Tregosa;1381;672;709
030299: União das freguesias de Gamil e Midões;1378;668;710
0302FA: União das freguesias de Milhazes, Vilar de Figos e Faria;1996;918;1078
0302FB: União das freguesias de Negreiros e Chavão;2206;1063;1143
0302FC: União das freguesias de Quintiães e Aguiar;1081;521;560
0302FD: União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);1808;904;904
