CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice,Parish,County,District,frequency
22.3,71.85,14.232361776406593,117.2757,95000.0,500.0, Redondo, Évora, Évora,25
22.8,66.24,13.53693552597233,59.120400000000004,89000.0,500.0, Vila de Rei, Castelo Branco, Castelo Branco,25
24.2,72.56,13.473462717972824,145.6598,158000.0,390.0, Sertã, Castelo Branco, Castelo Branco,61
26.2,66.29,12.924489703141338,74.4866,78333.33333333333,0.0, Moimenta da Beira, Viseu, Viseu,7
14.9,63.32,12.888092801091778,22.513900000000003,160000.0,0.0, Armamar, Viseu, Viseu,3
19.7,56.87,12.867232228676501,60.656299999999995,46400.0,3250.0, Cinfães, Viseu, Viseu,11
17.6,67.78,12.15463809223658,40.7264,165000.0,350.0, Ferreira do Zêzere, Santarém, Santarém,27
17.2,64.77,12.040945546644153,78.5008,47750.0,200.0, Castro Daire, Viseu, Viseu,10
16.8,83.05,11.91987059848202,16.0944,44100.0,0.0, Constância, Santarém, Santarém,23
24.8,71.82,11.534675311449812,84.27040000000001,162500.0,650.0, Gavião, Vila Nova de Famalicão, Braga,34
23.6,68.2,11.5070304049994,90.388,49814.28571428572,300.0, Arganil, Coimbra, Coimbra,55
11.1,55.32,11.482145525175556,17.0607,45000.0,0.0, Tabuaço, Viseu, Viseu,3
23.9,62.47,11.441805459741795,27.747899999999998,82950.0,0.0, Nordeste, Ilha de São Miguel, Ilha de São Miguel,7
24.4,66.51,11.228813559322035,43.968799999999995,109500.0,0.0, Alvaiázere, Leiria, Leiria,26
21.9,70.03,11.093941149958148,37.7337,195000.0,0.0, Lajes do Pico, Ilha do Pico, Ilha do Pico,4
28.5,61.85,11.07007336200354,124.716,130625.0,0.0, Monchique, Faro, Faro,18
25.6,67.24,10.963777490297542,60.7488,250000.0,0.0, Vieira do Minho, Braga, Braga,12
18.6,67.93,10.91697889962532,154.45440000000002,129200.0,0.0, Mogadouro, Valverde, Bragança,8
33.9,71.74,10.886185347693127,111.0225,193502.9411764706,300.0, Castro Marim, Faro, Faro,177
19.2,58.81,10.87866108786611,27.456,23750.0,0.0, Fornos de Algodres, Guarda, Guarda,8
56.6,63.08,10.683153013910356,195.6096,421100.0,0.0, Aljezur, Faro, Faro,39
24.1,61.17,10.37651159106511,47.3565,84000.0,200.0, Murça, Vila Real, Vila Real,2
21.8,77.12,10.082369713290037,27.7514,343875.0,600.0, Calheta, Calheta (Madeira), Ilha da Madeira,17
41.8,81.51,8.96319190783928,53.3368,60000.0,0.0, São Roque do Pico, Ilha do Pico, Ilha do Pico,7
23.2,73.49,8.780787825042195,142.42479999999998,115000.0,250.0, Macedo de Cavaleiros, Bragança, Bragança,47
46.2,63.35,8.520365752285953,66.297,31000.0,0.0, Barrancos, Beja, Beja,10
30.5,72.81,8.401503426929029,81.13,137375.0,0.0, Vidigueira, Beja, Beja,41
23.3,74.78,8.022840827980014,13.0946,36400.0,0.0, Lajes das Flores, Ilha das Flores, Ilha das Flores,9
33.9,68.01,7.788521913851564,105.12389999999999,30000.0,0.0, Vila Nova de Foz Côa, Guarda, Guarda,8
20.6,61.93,7.239357634463421,23.401600000000002,200000.0,0.0, Sabrosa, Vila Real, Vila Real,1
22.5,63.51,7.147596494840643,70.29,90000.0,450.0, Vila Pouca de Aguiar, Vila Real, Vila Real,11
21.7,63.97,7.11355867831371,40.6441,117500.0,375.0, Góis, Coimbra, Coimbra,16
17.7,79.03,6.818181818181818,30.0015,49000.0,0.0, Fronteira, Portalegre, Portalegre,8
29.9,62.82,6.804672665731033,98.5803,218900.0,0.0, Pinhel, Guarda, Guarda,16
22.7,79.25,6.431782965427896,57.4764,528000.0,250.0, Viana do Alentejo, Évora, Évora,24
23.3,89.69,6.42221058145626,14.2829,172575.0,390.0, Seixal, Arrentela e Aldeia de Paio Pires, Setúbal,647
23.6,69.02,6.372619218101103,42.008,40500.0,700.0, Sousel, Portalegre, Portalegre,8
24.1,62.99,6.10943990832259,41.1146,115000.0,0.0, Carrazeda de Ansiães, Bragança, Bragança,1
20.9,66.03,6.016462183568877,40.48329999999999,249500.0,0.0, Alfândega da Fé, Alfandega da Fé, Bragança,8
23.6,72.91,5.581793575827879,47.695600000000006,58833.333333333336,0.0, Alter do Chão, Portalegre, Portalegre,22
36.2,69.93,5.541398987905107,55.8928,140000.0,0.0, Mourão, Évora, Évora,10
29.9,71.74,5.322663756782152,52.5044,58000.0,0.0, Vila Velha de Ródão, Vila Velha de Rodão, Castelo Branco,22
28.0,82.43,4.987048091001239,61.992,150000.0,0.0, Mora, Évora, Évora,5
32.5,62.31,4.913838513055912,84.89,150000.0,0.0, Torre de Moncorvo, Bragança, Bragança,7
15.5,63.71,4.909334194620034,16.492,43666.666666666664,0.0, Penacova, Coimbra, Coimbra,20
20.5,73.32,4.582084095063985,64.2265,130000.0,400.0, Arraiolos, Évora, Évora,41
36.1,66.68,4.504436473475552,43.0673,84900.0,0.0, Alvito, Beja, Beja,9
27.1,77.28,4.231807148995191,76.0697,105000.0,200.0, Ourique, Beja, Beja,19
23.7,72.66,4.220206083993595,48.727199999999996,175000.0,0.0, Miranda do Douro, Bragança, Bragança,2
24.4,64.79,4.016572103625563,58.9016,154625.0,0.0, Portel, Évora, Évora,23
25.8,66.81,3.8441119216627015,50.439,115000.0,0.0, Figueira de Castelo Rodrigo, Guarda, Guarda,12
14.6,64.57,3.2764969984361603,18.9654,150000.0,0.0, Pampilhosa da Serra, Coimbra, Coimbra,21
20.4,57.89,3.147894926232458,44.614799999999995,85000.0,0.0, Vinhais, Bragança, Bragança,1
46.5,73.87,3.093396787626413,60.45,40280.0,0.0, Monforte, Portalegre, Portalegre,10
12.5,58.29,2.901435005760972,3.4625,70000.0,0.0, Santana, Ilha da Madeira, Ilha da Madeira,42
43.6,74.14,2.6866016469462184,70.9808,160000.0,0.0, Avis, Portalegre, Portalegre,8
27.3,62.28,2.583110114412675,33.961200000000005,125000.0,0.0, Vimioso, Bragança, Bragança,3
24.6,60.56,2.563374784907133,35.547,69800.0,0.0, Penamacor, Castelo Branco, Castelo Branco,7
17.2,61.02,2.3465246067985794,3.182,421129.92307692306,676.0, São Vicente, Braga, Braga,590
34.9,74.22,2.2124406347735435,39.995400000000004,29650.0,0.0, Almeida, Guarda, Guarda,4
15.1,71.51,2.127659574468085,2.6123,68000.0,280.0, Santa Cruz, Almodôvar, Beja,131
28.4,66.56,1.9360028463805334,71.0852,408250.0,475.0, Mértola, Beja, Beja,15
41.7,107.75,1.2060603459375938,11.7177,59022.22222222222,0.0, Ponta Delgada, Santa Cruz das Flores, Ilha das Flores,18
15.6,63.59,0.9531087477976607,7.0043999999999995,32500.0,400.0, Oleiros, Vila Verde, Braga,16
41.4,90.66,0.9303131861782041,6.6654,90000.0,0.0, Horta, Vila Nova de Foz Côa, Guarda,1
28.7,66.79,0.6603402282765558,4.333699999999999,58783.333333333336,0.0, Vila Verde, Alijó, Vila Real,71
21.0,82.15,0.36741214057507987,4.83,242500.0,527.5, Pombal, Leiria, Leiria,101
27.3,95.84,0.2294550789534067,9.009,350000.0,250.0, Castelo Branco,0.0, Castelo Branco,349
0.0,93.53,0.0,0.0,79000.0,600.0, Porto Santo, Ilha de Porto Santo, Ilha de Porto Santo,110
