CrimeRate,PurchasePower,PopulationDensity,TotalCrimes,AverageSellPrice,AverageRentPrice,Parish,County,District,frequency,Security
29.9,71.74,5.322663756782152,52.5044,58000.0,0.0, Vila Velha de Ródão, Vila Velha de Rodão, Castelo Branco,22,9.701
28.0,82.43,4.987048091001239,61.992,150000.0,0.0, Mora, Évora, Évora,5,9.72
32.5,62.31,4.913838513055912,84.89,150000.0,0.0, Torre de Moncorvo, Bragança, Bragança,7,9.675
15.5,63.71,4.909334194620034,16.492,43666.66666666666,0.0, Penacova, Coimbra, Coimbra,20,9.845
20.5,73.32,4.582084095063985,64.2265,130000.0,400.0, Arraiolos, Évora, Évora,41,9.795
36.1,66.68,4.504436473475552,43.0673,84900.0,0.0, Alvito, Beja, Beja,9,9.639
27.1,77.28,4.231807148995191,76.0697,105000.0,200.0, Ourique, Beja, Beja,19,9.729
23.7,72.66,4.220206083993595,48.7272,175000.0,0.0, Miranda do Douro, Bragança, Bragança,2,9.763
24.4,64.79,4.016572103625563,58.9016,154625.0,0.0, Portel, Évora, Évora,23,9.756
25.8,66.81,3.8441119216627015,50.439,115000.0,0.0, Figueira de Castelo Rodrigo, Guarda, Guarda,12,9.742
14.6,64.57,3.2764969984361603,18.9654,150000.0,0.0, Pampilhosa da Serra, Coimbra, Coimbra,21,9.854
20.4,57.89,3.147894926232458,44.6148,85000.0,0.0, Vinhais, Bragança, Bragança,1,9.796
46.5,73.87,3.093396787626413,60.45,40280.0,0.0, Monforte, Portalegre, Portalegre,10,9.535
12.5,58.29,2.901435005760972,3.4625,70000.0,0.0, Santana, Ilha da Madeira, Ilha da Madeira,42,9.875
43.6,74.14,2.6866016469462184,70.9808,160000.0,0.0, Avis, Portalegre, Portalegre,8,9.564
27.3,62.28,2.583110114412675,33.961200000000005,125000.0,0.0, Vimioso, Bragança, Bragança,3,9.727
24.6,60.56,2.563374784907133,35.547,69800.0,0.0, Penamacor, Castelo Branco, Castelo Branco,7,9.754
17.2,61.02,2.3465246067985794,3.182,421129.9230769231,676.0, São Vicente, Braga, Braga,590,9.828
34.9,74.22,2.2124406347735435,39.9954,29650.0,0.0, Almeida, Guarda, Guarda,4,9.651
15.1,71.51,2.127659574468085,2.6123,68000.0,280.0, Santa Cruz, Almodôvar, Beja,131,9.849
28.4,66.56,1.9360028463805332,71.0852,408250.0,475.0, Mértola, Beja, Beja,15,9.716000000000001
41.7,107.75,1.2060603459375938,11.7177,59022.22222222222,0.0, Ponta Delgada, Santa Cruz das Flores, Ilha das Flores,18,9.583
15.6,63.59,0.9531087477976607,7.0044,32500.0,400.0, Oleiros, Vila Verde, Braga,16,9.844
41.4,90.66,0.930313186178204,6.6654,90000.0,0.0, Horta, Vila Nova de Foz Côa, Guarda,1,9.586
28.7,66.79,0.6603402282765558,4.333699999999999,58783.333333333336,0.0, Vila Verde, Alijó, Vila Real,71,9.713
21.0,82.15,0.3674121405750798,4.83,242500.0,527.5, Pombal, Leiria, Leiria,101,9.79
27.3,95.84,0.2294550789534067,9.009,350000.0,250.0, Castelo Branco,0.0, Castelo Branco,349,9.727
0.0,93.53,0.0,0.0,79000.0,600.0, Porto Santo, Ilha de Porto Santo, Ilha de Porto Santo,110,10.0
